,Officer Name,Rank,Command,Shield,Appointed Date,Total Arrests,Department Recognitions
70,"ABINADER, ROMAN D",POLICE OFFICER,UNIFORMED OPERATIONS UNIT,12842,7/9/2013,109,1
71,"ABLESON, TYLER J",POLICE OFFICER,TB ANTI TERRORISM UNIT,12319,1/6/2016,9,1
72,"ABOAGYE, BENJAMIN A",DETECTIVE 3RD GRADE,GVSD Z1 VIOLENCE RED T/F,2768,7/6/2011,480,9
73,"ABOUABDALLAH, WADIH M",POLICE OFFICER,121 PRECINCT,13629,7/1/2019,16,0
74,"ABOUABDALLAH, WASSIM M",POLICE OFFICER,121 PRECINCT,952,1/6/2016,42,0
75,"ABOUNAOUM, ROY H",DETECTIVE 3RD GRADE,OPERATIONS & ANALYSIS SECTION,1848,1/7/2008,345,4
76,"ABRAHAM, CYRIL J",POLICE OFFICER,108 PRECINCT,6627,7/11/2005,179,2
77,"ABRAHAM, GIMMY M",POLICE OFFICER,TRB CITYWIDE TRAFFIC T/F,16127,1/7/2015,18,0
78,"ABRAHAM, MARK A",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,13656,7/1/2019,0,0
79,"ABRAHAM, MARTIN",POLICE OFFICER,HIGHWAY UNIT 5,13587,1/6/2016,33,5
80,"ABRAHAM, MICHELLE L",POLICE OFFICER,FIREARMS SUPPRESSION SECTION,1124,1/6/2016,22,0
81,"ABRAHAM, NIDHIN P",LIEUTENANT,075 PRECINCT,,1/10/2007,143,3
82,"ABRAHAM, SARINA",POLICE OFFICER,123 PRECINCT,26952,1/10/2018,31,1
83,"ABRAHAM, STEPHANE",SERGEANT,HOUSING PSA 2,1014,7/8/2008,86,1
84,"ABRAHAM, VENCENT",POLICE OFFICER,TRANSIT DISTRICT 4,21572,7/7/2021,1,0
85,"ABRAHAMS, GREGORY M",SERGEANT,POL LAB FIREARMS ANALYSIS SEC,4441,10/28/1994,85,17
86,"ABRAHAMS, MELISSA",POLICE OFFICER,LEGAL BUREAU,19595,7/8/2015,20,0
87,"ABRAHAMSEN, STEVEN J",DETECTIVE 2ND GRADE,108TH DET SQUAD,4644,7/10/2006,767,8
88,"ABRAMO, WILLIAM J",INSPECTOR,QUALITY ASSURANCE DIVISION,,1/3/1983,11,11
89,"ABRAMOV, VLADISLAV",POLICE OFFICER,TRANSIT DISTRICT 4,15538,7/6/2011,161,0
90,"ABRAMOV, YADADYE",POLICE OFFICER,026 PRECINCT,25674,11/2/2020,7,0
91,"ABRAMOWITZ, IAN A",POLICE OFFICER,028 PRECINCT,891,7/10/2006,208,5
92,"ABRAMS, DONALD L",SGT SPECIAL ASSIGN,EMERGENCY SERVICE UNIT,85,8/31/1998,148,30
93,"ABRAMS, JOSHUA L",POLICE OFFICER,123 PRECINCT,26549,7/10/2006,84,0
94,"ABRAMS, ROBBIN L",SERGEANT,TRANSIT DISTRICT 23,3336,6/30/1992,14,0
95,"ABRAMS, SCOT O",DETECTIVE SPECIALIST,FAS EXEMPT HARDSHIP,3063,7/1/1998,131,20
96,"ABRAMS, STEVEN M",POLICE OFFICER,HIGHWAY UNIT NO 3,31899,7/9/2013,301,1
97,"ABREGO, EDWIN A",POLICE OFFICER,028 PRECINCT,10010,11/2/2020,14,0
98,"ABREU, ALEXANDER J",POLICE OFFICER,041 PRECINCT,4929,10/18/2017,47,0
