,Officer Name,Rank,Command,Shield,Appointed Date,Total Arrests,Department Recognitions
70,"ABINADER, ROMAN D",POLICE OFFICER,UNIFORMED OPERATIONS UNIT,12842,7/9/2013,109,1
71,"ABLESON, TYLER J",POLICE OFFICER,TB ANTI TERRORISM UNIT,12319,1/6/2016,9,1
72,"ABOAGYE, BENJAMIN A",DETECTIVE 3RD GRADE,GVSD Z1 VIOLENCE RED T/F,2768,7/6/2011,480,9
73,"ABOUABDALLAH, WADIH M",POLICE OFFICER,121 PRECINCT,13629,7/1/2019,16,0
74,"ABOUABDALLAH, WASSIM M",POLICE OFFICER,121 PRECINCT,952,1/6/2016,42,0
75,"ABOUNAOUM, ROY H",DETECTIVE 3RD GRADE,OPERATIONS & ANALYSIS SECTION,1848,1/7/2008,345,4
76,"ABRAHAM, CYRIL J",POLICE OFFICER,108 PRECINCT,6627,7/11/2005,179,2
77,"ABRAHAM, GIMMY M",POLICE OFFICER,TRB CITYWIDE TRAFFIC T/F,16127,1/7/2015,18,0
78,"ABRAHAM, MARK A",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,13656,7/1/2019,0,0
79,"ABRAHAM, MARTIN",POLICE OFFICER,HIGHWAY UNIT 5,13587,1/6/2016,33,5
80,"ABRAHAM, MICHELLE L",POLICE OFFICER,FIREARMS SUPPRESSION SECTION,1124,1/6/2016,22,0
81,"ABRAHAM, NIDHIN P",LIEUTENANT,075 PRECINCT,,1/10/2007,143,3
82,"ABRAHAM, SARINA",POLICE OFFICER,123 PRECINCT,26952,1/10/2018,31,1
83,"ABRAHAM, STEPHANE",SERGEANT,HOUSING PSA 2,1014,7/8/2008,86,1
84,"ABRAHAM, VENCENT",POLICE OFFICER,TRANSIT DISTRICT 4,21572,7/7/2021,1,0
85,"ABRAHAMS, GREGORY M",SERGEANT,POL LAB FIREARMS ANALYSIS SEC,4441,10/28/1994,85,17
86,"ABRAHAMS, MELISSA",POLICE OFFICER,LEGAL BUREAU,19595,7/8/2015,20,0
87,"ABRAHAMSEN, STEVEN J",DETECTIVE 2ND GRADE,108TH DET SQUAD,4644,7/10/2006,767,8
88,"ABRAMO, WILLIAM J",INSPECTOR,QUALITY ASSURANCE DIVISION,,1/3/1983,11,11
89,"ABRAMOV, VLADISLAV",POLICE OFFICER,TRANSIT DISTRICT 4,15538,7/6/2011,161,0
90,"ABRAMOV, YADADYE",POLICE OFFICER,026 PRECINCT,25674,11/2/2020,7,0
91,"ABRAMOWITZ, IAN A",POLICE OFFICER,028 PRECINCT,891,7/10/2006,208,5
92,"ABRAMS, DONALD L",SGT SPECIAL ASSIGN,EMERGENCY SERVICE UNIT,85,8/31/1998,148,30
93,"ABRAMS, JOSHUA L",POLICE OFFICER,123 PRECINCT,26549,7/10/2006,84,0
94,"ABRAMS, ROBBIN L",SERGEANT,TRANSIT DISTRICT 23,3336,6/30/1992,14,0
95,"ABRAMS, SCOT O",DETECTIVE SPECIALIST,FAS EXEMPT HARDSHIP,3063,7/1/1998,131,20
96,"ABRAMS, STEVEN M",POLICE OFFICER,HIGHWAY UNIT NO 3,31899,7/9/2013,301,1
97,"ABREGO, EDWIN A",POLICE OFFICER,028 PRECINCT,10010,11/2/2020,14,0
98,"ABREU, ALEXANDER J",POLICE OFFICER,041 PRECINCT,4929,10/18/2017,47,0
99,"ABREU, CHARLIE",LIEUTENANT,TRANSIT DISTRICT 12,,7/10/2006,90,0
100,"ABREU, CHRISTIAN",POLICE OFFICER,HARBOR UNIT,17353,7/11/2005,73,4
101,"ABREU, CHRISTOPHER R",POLICE OFFICER,115 PRECINCT,26627,1/3/2019,16,0
102,"ABREU, DELILAH",LIEUTENANT,033 PRECINCT,,7/10/2006,288,1
103,"ABREU, DILSON J",DETECTIVE 3RD GRADE,083 DET SQUAD,6465,1/20/2004,794,0
104,"ABREU, EMILIA",POLICE OFFICER,BRONX COURT SECT,15945,7/11/2005,137,1
105,"ABREU, ERNIE R",POLICE OFFICER,109 PRECINCT,21774,10/7/2015,86,3
106,"ABREU, ESTEBAN M",LIEUTENANT,BRONX COURT SECT,,7/10/2006,264,23
107,"ABREU, EVA E",POLICE OFFICER,043 PRECINCT,25462,7/21/2008,97,0
108,"ABREU, FRANKLYN",SERGEANT,MEDICAL DIVISION,5031,7/21/2008,154,3
109,"ABREU, GABRIEL",POLICE OFFICER,115 PRECINCT,9959,7/2/2018,68,0
110,"ABREU, GERONIMO",POLICE OFFICER,034 PRECINCT,21901,2/24/2021,2,0
111,"ABREU, HERNAN",POLICE OFFICER,HOUSING PSA 9,10419,11/2/2020,4,0
112,"ABREU, ISIDRO A",DETECTIVE 3RD GRADE,DEP COMM INTEL & COUNTERTERRORISM,3397,7/1/2002,78,0
113,"ABREU, JAVIER",POLICE OFFICER,MEDICAL DIVISION,30598,1/10/2018,13,0
114,"ABREU, JEFFREY",POLICE OFFICER,HOUSING PSA 7,18718,7/8/2015,35,0
115,"ABREU, JOAO M",POLICE OFFICER,WAREHOUSE SYSTEM,23272,1/7/2008,49,2
116,"ABREU, JOHN L",POLICE OFFICER,TRANSIT DISTRICT 2,118,7/1/2001,206,1
117,"ABREU, JOHN R",POLICE OFFICER,040 PRECINCT,20796,7/5/2017,17,1
118,"ABREU, JOSE L",POLICE OFFICER,STRATEGIC RESP GRP 2 BRONX,30912,7/10/2006,130,0
119,"ABREU, KATHERINE",POLICE OFFICER,TB MANHATTAN TF TIMES SQ INITIATIVE,1462,7/9/2013,156,3
120,"ABREU, LENNIE",POLICE OFFICER,078 PRECINCT,5530,7/6/2010,80,2
121,"ABREU, MANUEL J",POLICE OFFICER,TRANSIT DISTRICT 1,11068,7/9/2014,211,5
122,"ABREU, MARGARET",DETECTIVE 3RD GRADE,INTERNAL AFFAIRS BUREAU,1009,7/9/2014,93,0
123,"ABREU, MARISOL",SERGEANT,076 PRECINCT,2721,1/9/2006,40,0
124,"ABREU, MIGUEL A",SERGEANT,INTERNAL AFFAIRS BUREAU,614,1/7/2008,83,1
125,"ABREU, MIGUEL S",POLICE OFFICER,023 PRECINCT,6311,10/12/2021,0,0
126,"ABREU, PEDRO O",DETECTIVE 3RD GRADE,NARC BORO BROOKLYN NORTH,577,3/1/2000,613,5
127,"ABREU, RUBEN D",POLICE OFFICER,RTS RECRUITS,30966,12/29/2021,0,0
128,"ABREU, STEPHANIE",POLICE OFFICER,RTS RECRUITS,20004,12/29/2021,0,0
129,"ABREU, STEVEN",POLICE OFFICER,030 PRECINCT,28090,1/10/2018,81,6
130,"ABREUGARCIA, KAROLIN",POLICE OFFICER,044 PRECINCT,22106,1/6/2020,19,0
131,"ABREUGEREZ, CONRADO",POLICE OFFICER,071 PRECINCT,6458,10/7/2019,22,0
132,"ABREUHERNANDEZ, KATIE J",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,6693,10/12/2021,0,0
133,"ABREUJIMENEZ, TOMMY A",POLICE OFFICER,033 PRECINCT,1094,12/29/2020,9,0
134,"ABRIL, AYRTON A",POLICE OFFICER,079 PRECINCT,27625,1/6/2020,14,0
135,"ABRUSCATI, THOMAS C",POLICE OFFICER,114 PRECINCT,20209,10/11/2016,32,0
136,"ABRUZESE, KENNETH",DETECTIVE 1ST GRADE,FIRST DEPUTY COMMISSIONER,2820,7/15/1986,107,0
137,"ABRUZZO, JAMES T",POLICE OFFICER,070 PRECINCT,6428,7/13/2016,24,0
138,"ABRUZZO, STEPHEN G",POLICE OFFICER,HOUSING PSA 4,21067,4/25/2018,9,0
139,"ABT, MAXWELL C",POLICE OFFICER,050 PRECINCT,7368,10/7/2019,86,5
140,"ABUDAYEH, ALI",POLICE OFFICER,061 PRECINCT,26113,7/5/2017,30,6
141,"ABUHAMDEH, NADIA F",POLICE OFFICER,019 PRECINCT,13014,7/6/2011,102,0
142,"ABUMALOUH, BAHER Y",POLICE OFFICER,033 PRECINCT,23479,4/15/2019,19,2
143,"ABUMALOUH, SAHER Y",SERGEANT,PBMN INVESTIGATIONS UNIT,2157,1/10/2005,67,1
144,"ABUMISLIMOV, MAHMUD",SERGEANT,OPERATIONS & ANALYSIS SECTION,2933,7/6/2011,34,0
145,"ABUYEN, BRIAN T",POLICE OFFICER,CRIME SCENE UNIT,21504,7/1/2004,105,6
146,"ACCARDI, RICHARD S",DETECTIVE 3RD GRADE,001 DET SQUAD,1014,7/13/2016,198,1
147,"ACCETTA, JOSEPH S",POLICE OFFICER,TRANSIT DISTRICT 1,25760,7/5/2017,196,0
148,"ACCETTA, NICHOLAS P",POLICE OFFICER,DET BORO QUEENS NORTH,5404,7/6/2011,80,1
149,"ACCOMANDO, SALVATORE N",SERGEANT,013 DET SQUAD,1835,1/10/2005,216,30
150,"ACCOMANDO, THOMAS A",POLICE OFFICER,WARRANT SECTION,8316,7/6/2011,367,16
151,"ACCORDINO, MICHAEL A",POLICE OFFICER,109 PRECINCT,19593,4/28/2021,7,0
152,"ACEBO, DANIEL A",POLICE OFFICER,RTS RECRUITS,20267,12/29/2021,0,0
153,"ACERRA, CYNTHIA A",SERGEANT,POLICE ACTION LITIGATION SECTION,1067,1/31/2006,147,0
154,"ACERRA, GREGORY M",POLICE OFFICER,STRATEGIC RESP GRP 5 SI,6077,7/11/2012,104,2
155,"ACEVEDO, ALAN S",POLICE OFFICER,RTS RECRUITS,20541,12/29/2021,0,0
156,"ACEVEDO, ALBERTO C",LIEUTENANT,109 PRECINCT,,7/9/2007,90,1
157,"ACEVEDO, ALEJANDRO",SERGEANT,079 PRECINCT,130,7/6/2010,147,7
158,"ACEVEDO, ALEXIS J",POLICE OFFICER,HOUSING PSA 3,9400,7/1/2003,167,0
159,"ACEVEDO, ANDY S",POLICE OFFICER,048 PRECINCT,22723,2/24/2021,17,0
160,"ACEVEDO, ANGELIESSE M",POLICE OFFICER,POLICE ACADEMY,27313,7/5/2017,69,4
161,"ACEVEDO, ASHLEY M",POLICE OFFICER,019 PRECINCT,4444,7/2/2018,29,1
162,"ACEVEDO, BERLINDA J",POLICE OFFICER,025 PRECINCT,28355,7/20/2006,280,2
163,"ACEVEDO, DANIL M",POLICE OFFICER,047 PRECINCT,10798,7/1/2004,245,1
164,"ACEVEDO, EMMANUEL",POLICE OFFICER,RTS RECRUITS,21285,12/29/2021,0,0
165,"ACEVEDO, FIDELINA",POLICE OFFICER,061 PRECINCT,30643,7/11/2012,41,0
166,"ACEVEDO, FRANCIS M",POLICE OFFICER,044 PRECINCT,10430,7/7/2021,9,0
167,"ACEVEDO, GILBERT",SERGEANT,HB BRONX/QUEENS RESPONSE TEAM,1289,7/11/2005,188,1
168,"ACEVEDO, IVAN J",SERGEANT,PBBS INVESTIGATIONS UNIT,274,7/1/2004,46,1
169,"ACEVEDO, JASON",SERGEANT,TRN BUR CMD LVL TRAINING SECT,3120,7/6/2011,89,0
170,"ACEVEDO, JAVISH L",DETECTIVE 3RD GRADE,CRIMINAL ENTERPRISE INVEST SEC,3108,7/6/2010,155,11
171,"ACEVEDO, JOEL",POLICE OFFICER,066 PRECINCT,25988,1/7/2008,98,3
172,"ACEVEDO, JOSE A",POLICE OFFICER,TRANSIT DISTRICT 33,26278,1/10/2018,5,0
173,"ACEVEDO, JOSE A",POLICE OFFICER,TRANSIT BORO BKLYN TASK FORCE,8219,1/9/2012,233,5
174,"ACEVEDO, KATRINA A",SERGEANT,062 PRECINCT,5033,1/10/2007,45,8
175,"ACEVEDO, MARC A",POLICE OFFICER,121 PRECINCT,12539,1/10/2018,42,0
176,"ACEVEDO, MICHAEL A",POLICE OFFICER,QUEENS WARRANT SQD,14901,7/1/2019,4,0
177,"ACEVEDO, MIGUEL A",POLICE OFFICER,032 PRECINCT,11980,11/2/2020,8,0
178,"ACEVEDO, NATALIE",POLICE OFFICER,HOUSING PSA 3,21975,10/7/2015,34,0
179,"ACEVEDO, NELSON",SERGEANT,044 PRECINCT,135,7/11/2005,413,16
180,"ACEVEDO, NIEVES",POLICE OFFICER,017 PRECINCT,23495,2/24/2021,3,0
181,"ACEVEDO, ODANI",SERGEANT,INTERNAL AFFAIRS BUREAU,104,7/9/2013,62,0
182,"ACEVEDO, PETER",POLICE OFFICER,HOUSING PSA 8,19258,10/11/2016,81,4
183,"ACEVEDO, RAY E",POLICE OFFICER,075 PRECINCT,29105,1/10/2018,55,1
184,"ACEVEDO, RICHARD",POLICE OFFICER,TRANSIT DISTRICT 11,3365,1/6/2016,59,1
185,"ACEVEDO, RICKY",POLICE OFFICER,084 PRECINCT,6549,1/9/2012,42,1
186,"ACEVEDO, ROBERT",POLICE OFFICER,048 PRECINCT,11884,7/7/2021,4,0
187,"ACEVEDO, RYAN P",POLICE OFFICER,115 PRECINCT,12567,7/7/2021,7,0
188,"ACEVEDO, SAMUEL J",POLICE OFFICER,073 PRECINCT,9923,7/9/2014,37,1
189,"ACEVEDO, STEVEN",DETECTIVE 3RD GRADE,HATE CRIME TASK FORCE,4092,7/6/2011,413,20
190,"ACEVEDO, TAISHA",POLICE OFFICER,048 PRECINCT,8134,1/6/2020,23,0
191,"ACEVEDO, TANYA L",POLICE OFFICER,049 DET SQUAD,24060,10/7/2015,113,1
192,"ACEVEDO, TIARA",POLICE OFFICER,050 PRECINCT,5491,10/7/2019,20,1
193,"ACEVEDO, VICTORIA",POLICE OFFICER,DET BORO BRONX,4362,7/6/2010,116,2
194,"ACEVEDO, WILFREDO",DETECTIVE 3RD GRADE,DET BORO MAN NO HOMICIDE SQ,6499,7/11/2005,237,24
195,"ACEVEDO, WILLIAM M",POLICE OFFICER,078 PRECINCT,1793,12/29/2020,5,0
196,"ACEVEDOESTRELLA, ROBINSON",POLICE OFFICER,HOUSING PSA 8,9153,10/24/2018,20,1
197,"ACEVEDOMOTA, FRANCHESCA E",POLICE OFFICER,024 PRECINCT,22359,11/2/2020,19,0
198,"ACHILLE, ANDREW H",POLICE OFFICER,STRATEGIC RESP GRP 3 BROOKLYN,15568,1/7/2015,56,0
199,"ACHILLE, CARL H",SERGEANT,QNS COURT SECTION,1030,1/7/2008,335,1
200,"ACHNITZ, JOHN E",POLICE OFFICER,041 PRECINCT,22153,1/6/2020,36,0
201,"ACIERNO, ALBERT J",POLICE OFFICER,120 PRECINCT,23341,1/6/2020,23,0
202,"ACIERNO, ALBERT R",POLICE OFFICER,120 PRECINCT,7914,10/28/1994,64,3
203,"ACIERNO, ANDREW",SERGEANT,INTERNAL AFFAIRS BUREAU,765,7/6/2011,55,0
204,"ACKERMAN, HOLLY R",POLICE OFFICER,RTS RECRUITS,20149,12/29/2021,0,0
205,"ACOMPORA, LIZABETH",DETECTIVE 3RD GRADE,RTCC INVESTIGATIVE SUPPORT SEC,6917,7/22/2002,153,0
206,"ACOSTA, ADAM",DETECTIVE 3RD GRADE,046 DET SQUAD,3016,7/8/2008,527,8
207,"ACOSTA, ANTHONY",DETECTIVE 2ND GRADE,NARC BORO BRONX,164,10/15/1990,"1,130",13
208,"ACOSTA, CARLA M",POLICE OFFICER,032 PRECINCT,13307,11/2/2020,8,0
209,"ACOSTA, CHRISTIAN D",POLICE OFFICER,NARC BORO QUEENS NORTH,20404,1/4/2017,12,0
210,"ACOSTA, CHRISTOPHER",POLICE OFFICER,HOUSING PSA 8,16497,7/7/2021,7,0
211,"ACOSTA, DANIEL C",POLICE OFFICER,STRATEGIC RESP GRP 2 BRONX,11677,3/1/2000,233,1
212,"ACOSTA, EDDY R",POLICE OFFICER,070 PRECINCT,6440,7/13/2016,36,0
213,"ACOSTA, ERIC G",POLICE OFFICER,049 PRECINCT,12406,4/12/2017,92,2
214,"ACOSTA, FELIX R",SERGEANT,TRAFFIC ENFORCEMENT DISTRICT,4308,1/9/2006,374,1
215,"ACOSTA, FRANCISCO J",POLICE OFFICER,062 PRECINCT,30047,7/6/2011,89,4
216,"ACOSTA, FRANK J",DETECTIVE 3RD GRADE,MISSING PERSONS SQUAD,3111,7/1/2004,450,20
217,"ACOSTA, HUMBERTO",SERGEANT,PBMN INVESTIGATIONS UNIT,3129,7/11/2012,133,0
218,"ACOSTA, ISA M",POLICE OFFICER,028 PRECINCT,14128,11/2/2020,15,0
219,"ACOSTA, ISAAC C",POLICE OFFICER,030 PRECINCT,16660,7/5/2017,28,0
220,"ACOSTA, ISAIAS",POLICE OFFICER,090 PRECINCT,7009,10/12/2021,0,0
221,"ACOSTA, JENNIFER A",POLICE OFFICER,067 PRECINCT,26922,1/3/2019,24,0
222,"ACOSTA, JONATHAN",POLICE OFFICER,114 PRECINCT,2224,12/29/2020,8,0
223,"ACOSTA, JONATHAN R",POLICE OFFICER,TRANSIT DISTRICT 2,11948,7/9/2013,416,4
224,"ACOSTA, JOSHUA A",POLICE OFFICER,007 PRECINCT,3792,1/8/2014,44,0
225,"ACOSTA, JUNIO C",SERGEANT,BRONX ZOO DETAIL,293,7/1/1998,326,7
226,"ACOSTA, KENIA",POLICE OFFICER,044 PRECINCT,1035,7/11/2012,119,1
227,"ACOSTA, KENNY",POLICE OFFICER,043 PRECINCT,3810,1/6/2016,122,0
228,"ACOSTA, LAUREN J",SERGEANT,HIGHWAY UNIT NO 1,1218,1/10/2007,92,0
229,"ACOSTA, LUIS M",SERGEANT,QUALITY ASSURANCE DIVISION,952,7/10/2006,37,0
230,"ACOSTA, MARITZA",POLICE OFFICER,STRATEGIC RESP GRP 2 BRONX,24020,7/2/2001,112,2
231,"ACOSTA, MODESTO J",POLICE OFFICER,TB ANTI TERRORISM UNIT,1352,7/9/2014,70,3
232,"ACOSTA, PAOLA N",POLICE OFFICER,024 PRECINCT,1263,10/18/2017,23,0
233,"ACOSTA, PAUL",DETECTIVE 3RD GRADE,INTEL CIS FIO PROGRAM,2042,7/9/2013,156,0
234,"ACOSTA, RICARDO",POLICE OFFICER,052 PRECINCT,8917,7/10/2006,280,0
235,"ACOSTA, YEKATERINA",SGT DET SQUAD,INTERNAL AFFAIRS BUREAU,809,1/14/2009,110,2
236,"ACOSTACOLLADO, JENNIFER",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,12147,10/18/2017,11,0
237,"ACOSTALIRIANO, DESIREE",POLICE OFFICER,"GUN VIOL SUPP DIV Z2 (MAN,BX)",19290,1/9/2013,185,2
238,"ACOSTATORERO, DIEGO S",POLICE OFFICER,RTS RECRUITS,21909,12/29/2021,0,0
239,"ACOSTAVILLA, JUAN M",POLICE OFFICER,048 PRECINCT,30227,1/3/2019,47,0
240,"ACQUAVIVA, JONATHAN J",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,3348,7/1/2004,202,1
241,"ACQUISTA, MARIARITA A",DETECTIVE SPECIALIST,TRANSIT DISTRICT 34,4755,1/6/2016,31,1
242,"ACUNA, JESUS A",POLICE OFFICER,107 PRECINCT,12736,7/1/2002,634,2
243,"ACUNA, PATROCINIO J",POLICE OFFICER,078 PRECINCT,23041,11/2/2020,11,0
244,"ACUNA, SONIA",DETECTIVE 3RD GRADE,CEIS MAJOR INVESTIGATION SQUAD,7825,7/7/1999,68,0
245,"ACURIA, JULIO A",SERGEANT,084 PRECINCT,1077,1/20/2004,60,5
246,"ADAIR, KEVIN J",DETECTIVE SPECIALIST,CHIEF CRIME CONTROL STRATEGIES,2056,1/8/2014,180,42
247,"ADAM, IBRAHIM A",POLICE OFFICER,INTEL CIS FIO PROGRAM,20396,7/8/2015,148,41
248,"ADAMCZYK, LUKASZ",POLICE OFFICER,063 PRECINCT,14038,1/6/2020,17,0
249,"ADAMES, ALEX",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,1118,4/6/2016,10,1
250,"ADAMES, DAWN M",LIEUTENANT,INTERNAL AFFAIRS BUREAU,,1/10/2005,366,3
251,"ADAMES, FRANCISCO V",DETECTIVE 3RD GRADE,113TH DET SQUAD,1542,1/9/2006,419,8
252,"ADAMES, HENRY R",DETECTIVE 3RD GRADE,NARC BORO BRONX,6473,7/10/2006,581,18
253,"ADAMES, ISABELO",POLICE OFFICER,028 PRECINCT,15260,7/6/2010,104,0
254,"ADAMES, JENNIFER I",POLICE OFFICER,046 PRECINCT,21565,10/7/2015,30,1
